area,manure,urea,npk,nitrogen,rain_sow,rain_flow,rain_cycle,rain_year,tillage_ca,tillage_till,village_Ambohimiarina,village_Ambohitsilaozana,village_Ambongabe,village_Ampitatsimo,village_Antsahamamy,soil_hillside,soil_lowland,CA_year_num,x24d_bin,glypho_bin,interaction_till_rain_sow,interaction_ca_rain_sow,interaction_till_rain_flow,interaction_ca_rain_flow,interaction_till_rain_cycle,interaction_ca_rain_cycle,interaction_till_rain_year,interaction_ca_rain_year,interaction_till_nitrogen,interaction_ca_nitrogen,interaction_till_area,interaction_ca_area,ratio_N_urea,ratio_N_manure,total_npk,sow_day_of_year,rain_cycle_squared,nitrogen_squared,area_squared,interaction_rain_nitrogen,interaction_rain_area,water_stress
0.1,0.0,0.0,0.0,0.0,104.2,12.8,1056.8,1105.0,True,False,True,False,False,False,False,False,True,1,0,0,0.0,104.2,0.0,12.8,0.0,1056.8,0.0,1105.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,331,1116826.24,0.0,0.010000000000000002,0.0,105.68,0
0.1,0.0,0.0,0.0,0.0,79.6,34.5,883.5,939.0,True,False,False,False,False,False,True,False,True,2,0,0,0.0,79.6,0.0,34.5,0.0,883.5,0.0,939.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,336,780572.25,0.0,0.010000000000000002,0.0,88.35000000000001,0
0.2,0.0,0.0,0.0,0.0,17.6,160.8,998.8,1105.0,False,True,True,False,False,False,False,False,True,0,0,0,17.6,0.0,160.8,0.0,998.8,0.0,1105.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,320,997601.44,0.0,0.04000000000000001,0.0,199.76,0
1.3,3571.4,120.0,220.0,79.4,117.0,244.8,1148.1,1288.7,False,True,True,False,False,False,False,False,True,0,0,0,117.0,0.0,244.8,0.0,1148.1,0.0,1288.7,0.0,79.4,0.0,1.3,0.0,0.6616611528237265,0.022232171632365003,220.0,329,1318133.6099999999,6304.360000000001,1.6900000000000002,91159.14,1492.53,0
16.5,2750.0,48.5,0.0,22.31,35.5,55.4,907.4,1108.4,False,True,False,False,True,False,False,False,True,0,0,0,35.5,0.0,55.4,0.0,907.4,0.0,1108.4,0.0,22.31,0.0,16.5,0.0,0.4599905156594709,0.0081127243226457,0.0,338,823374.76,497.73609999999996,272.25,20244.093999999997,14972.1,0
0.2,0.0,0.0,0.0,0.0,92.2,26.2,1015.7,1089.9,False,True,False,True,False,False,False,False,True,0,0,0,92.2,0.0,26.2,0.0,1015.7,0.0,1089.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,336,1031646.4900000001,0.0,0.04000000000000001,0.0,203.14000000000001,0
60.0,3928.6,50.0,0.0,23.0,146.0,244.5,879.6,1108.4,False,True,False,False,True,False,False,False,True,0,1,0,146.0,0.0,244.5,0.0,879.6,0.0,1108.4,0.0,23.0,0.0,60.0,0.0,0.45999080018399635,0.005854501386116839,0.0,3,773696.16,529.0,3600.0,20230.8,52776.0,0
13.0,0.0,38.5,0.0,17.71,144.8,43.8,857.2,1062.2,True,False,True,False,False,False,False,False,True,1,1,1,0.0,144.8,0.0,43.8,0.0,857.2,0.0,1062.2,0.0,17.71,0.0,13.0,0.45998805225838296,17710.0,0.0,365,734791.8400000001,313.64410000000004,169.0,15181.012000000002,11143.6,0
6.0,4166.7,0.0,50.0,5.5,17.8,179.0,1325.5,1331.2,False,True,False,False,False,False,True,True,False,0,0,0,17.8,0.0,179.0,0.0,1325.5,0.0,1331.2,0.0,5.5,0.0,6.0,0.0,5500.0,0.001319989123289624,50.0,342,1756950.25,30.25,36.0,7290.25,7953.0,0
20.0,3928.6,60.0,100.0,38.6,63.7,103.5,1263.0,1331.2,False,True,False,False,False,False,True,True,False,0,0,0,63.7,0.0,103.5,0.0,1263.0,0.0,1331.2,0.0,38.6,0.0,20.0,0.0,0.6433226112898118,0.009825380587135217,100.0,360,1595169.0,1489.96,400.0,48751.8,25260.0,0
0.2,0.0,0.0,0.0,0.0,30.8,90.0,933.9,1089.9,False,True,False,True,False,False,False,False,True,0,0,0,30.8,0.0,90.0,0.0,933.9,0.0,1089.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,350,872169.21,0.0,0.04000000000000001,0.0,186.78,0
36.0,2083.3,69.4,0.0,31.924,86.9,1.2,665.5,844.8,False,True,False,True,False,False,False,False,True,0,0,0,86.9,0.0,1.2,0.0,665.5,0.0,844.8,0.0,31.924,0.0,36.0,0.0,0.4599933718534314,0.015323757824721437,0.0,3,442890.25,1019.1417759999999,1296.0,21245.422,23958.0,1
0.1,0.0,0.0,0.0,0.0,124.6,34.4,927.4,1105.0,True,False,True,False,False,False,False,False,True,1,0,0,0.0,124.6,0.0,34.4,0.0,927.4,0.0,1105.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,344,860070.76,0.0,0.010000000000000002,0.0,92.74000000000001,0
0.4,0.0,0.0,0.0,0.0,141.1,344.2,927.9,1089.9,True,False,False,True,False,False,False,False,True,2,0,0,0.0,141.1,0.0,344.2,0.0,927.9,0.0,1089.9,0.0,0.0,0.0,0.4,0.0,0.0,0.0,364,860998.4099999999,0.0,0.16000000000000003,0.0,371.16,0
